timestamp_utc,run_label,mode,cpu_gguf,cpu_q4_h128,cpu_threads,cpu_isa,teacher_forced,cpu_kv_cache,cpu_attention_kernel,cached_prefix_tokens,prefix_cache_restore_time_ms,prefix_cache_bytes,qwen35x_prefill_mode,qwen35x_prefill_kernel,qwen35x_weight_precision,qwen35x_cache_precision,qwen35x_decode_blocks_requested,prefill_only,run_index,prompt_name,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second,profile_json,qwen35x_profile_enabled,qwen35x_prefill_host_total_ms,qwen35x_prefill_gpu_total_ms,qwen35x_prefill_token_upload_ms,qwen35x_prefill_embed_ms,qwen35x_prefill_mark_seen_ms,qwen35x_prefill_final_norm_ms,qwen35x_prefill_lm_head_ms,qwen35x_prefill_lm_reduce_ms,qwen35x_prefill_hidden_handoff_ms,qwen35x_prefill_output_token_download_ms,qwen35x_prefill_deltanet_total_ms,qwen35x_prefill_deltanet_recurrence_ms,qwen35x_prefill_deltanet_flashqla_prepare_ms,qwen35x_prefill_deltanet_flashqla_consume_ms,qwen35x_prefill_deltanet_projection_ms,qwen35x_prefill_full_attention_total_ms,qwen35x_prefill_full_attention_attention_ms,qwen35x_prefill_full_attention_qk_ms,qwen35x_prefill_full_attention_softmax_ms,qwen35x_prefill_full_attention_pv_ms,qwen35x_prefill_full_attention_gate_ms,qwen35x_prefill_full_attention_qk_norm_rope_ms,qwen35x_prefill_full_attention_projection_ms,qwen35x_prefill_mlp_total_ms,qwen35x_decode_steps,qwen35x_decode_blocks,qwen35x_decode_max_safe_blocks,qwen35x_decode_host_total_ms,qwen35x_decode_seen_token_upload_ms,qwen35x_decode_launch_total_ms,qwen35x_decode_kernel_ms,qwen35x_decode_lm_head_ms,qwen35x_decode_output_token_download_ms
2026-09-06T08:48:44.5524373Z,0-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,933.941684,318.461905,401.931905,1937.132653,66.077044,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684520115.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:48:48.9960811Z,0-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,923.748772,321.201681,398.503518,1946.885875,65.746021,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684524571.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:48:53.4250622Z,0-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,927.103101,325.856615,392.810807,1953.523623,65.522627,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684528999.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:53.3775993Z,3-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,937.584942,325.561606,393.166754,1957.859715,65.377514,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684588910.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:57.8055778Z,3-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,932.251716,319.559351,400.551571,1940.20525,65.972402,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684593379.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:50:02.2329260Z,3-d128-t6-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,928.646725,322.645235,396.720565,1941.655843,65.923114,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684597807.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:06.1458996Z,1-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,2372.393264,327.641198,390.671261,2406.020862,53.199871,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684539805.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:12.3988294Z,1-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,2274.896772,332.195178,385.315647,2400.669095,53.318469,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684546148.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:18.7493882Z,1-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,2381.681649,327.118704,391.295265,2407.21544,53.173471,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684552401.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:31.4681379Z,2-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,2369.676296,326.992919,391.445785,2402.393719,53.280193,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684565137.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:38.0891232Z,2-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,2360.322359,323.976345,395.090574,2411.368194,53.081898,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684571470.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:49:44.4384200Z,2-d128-t6-experiment,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,6,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,2369.932526,326.047164,392.58124,2420.55984,52.880329,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684578091.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:50:11.1824778Z,4-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,943.534521,317.956235,402.571127,1961.739121,65.248227,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684606730.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:50:15.6281291Z,4-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,940.134103,316.048964,405.000537,1963.597332,65.186481,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684611184.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:50:20.1289709Z,4-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,950.955593,317.58572,403.040792,2000.430848,63.986216,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684615630.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:51:20.8793897Z,7-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,1,d128,128,128,932.439225,337.146679,379.656713,1978.612594,64.691795,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_1_1788684676398.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:51:25.3925567Z,7-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,2,d128,128,128,927.357399,316.348333,404.617274,1998.163425,64.058824,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_2_1788684680892.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-06T08:51:29.9041934Z,7-d128-t12-baseline,cpu-h128,,C:\Development\vibe-inference\models\qwen3.5-0.8b\model-q4-h128-cpu-dot4.q35h,12,avx2,False,fp16,rows,0,0,0,batched,default,bf16,bf16,0,False,3,d128,128,128,950.246357,318.59146,401.768459,2005.2866,63.831275,C:\Development\vibe-inference\benchmarks\cpu-experiments-2026-09-06\intel-lut\profiles\run_cpu-h128_3_1788684685394.json,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
